id,category,difficulty,question,ground_truth,source_reference
Q39,MultiHop-Synthesis,Medium,"How does the definition of ""guardian"" differ from ""custody"" of a child?","A guardian has responsibility for the child's long-term welfare and all the powers, rights and duties of a guardian EXCEPT the right to daily care and control and the right/responsibility to make decisions about daily care and control - those two rights are what ""custody"" covers.",Reg 1.03 (definitions)
Q40,MultiHop-Synthesis,Medium,"Under regulation 5.39, when is a person entitled to a refund of a visa application fee?","When the application was for any reason unnecessary, or was made as a result of a mistake by the person or by Immigration; and if the applicant dies before a decision is made, the legal personal representative is entitled to the refund.",Reg 5.39
Q41,MultiHop-Synthesis,Hard,"What is an ""overseas near relative"" for the remaining relative test?","A parent, brother, sister or non-dependent child (or a step-parent, step-brother, step-sister or non-dependent step-child) of the applicant or the applicant's spouse, who is not a relative of the kind referred to in subregulation 1.15(1).",Reg 1.15(3)
Q42,Structural-Meta,Medium,"Using the example in regulation 1.06, what code refers to the Cultural/Social (Temporary) Class?",Class TE.,Reg 1.06 (note)
Q43,Structural-Meta,Medium,What codes are used for transitional (permanent) and transitional (temporary) visas?,Transitional (permanent) = BF; transitional (temporary) = UA.,Reg 1.06(b)
Q44,Structural-Meta,Medium,"A reference to ""a visa of Subclass 414"" is a reference to what?",A visa granted on satisfaction of the criteria set out in the Part of Schedule 2 that bears the number of that subclass (414).,Reg 1.07(1)
Q45,Structural-Meta,Medium,"Which Schedule and form set out the ""Search Warrant - Valuables"", and under which subsection of the Act?","Schedule 10, Form 1, made under subregulation 5.32(1) and subsection 223(14) of the Migration Act 1958.","Schedule 10, Form 1"
Q46,Structural-Meta,Medium,What warning appears at the bottom of the Form 3 document issued under subsection 274(3)?,"""THIS DOCUMENT IS NOT AN IDENTIFICATION DOCUMENT.""","Schedule 10, Form 3"
Q47,OutOfScope-Abstention,Medium,What is the application fee for a Subclass 500 Student visa under these Regulations?,Not answerable from this document. Subclass 500 is not part of the Migration Regulations 1994 (No. 268) as made in 1994; student study is dealt with via Class TU / older subclasses. A correct RAG response should decline rather than invent a figure.,Not in document (abstention expected)
Q48,OutOfScope-Abstention,Medium,Do these Regulations set out the questions used in the Australian citizenship test?,Not answerable / no. Citizenship testing is not covered by these Migration Regulations; the document only references the Australian Citizenship Act 1948 in passing. A correct RAG response should abstain.,Not in document (abstention expected)
Q49,OutOfScope-Abstention,Hard,What are the current (2024) minimum IELTS scores required for a skilled visa?,Not answerable from this 1994 document. It defines the IELTS and ACCESS tests but sets out no 2024 score thresholds. A correct RAG response should decline and note the source is out of date for that question.,Not in document (abstention expected)
Q50,OutOfScope-Abstention,Medium,How much is the Migration Agents registration application charge under these Regulations?,"Not answerable from this document. These Regulations cover visa criteria, fees, review and infringement matters, not migration-agent registration charges. A correct RAG response should abstain rather than guess.",Not in document (abstention expected)
